	,
拵	扌存
拶	擠
桚	擠
拸	扌多
拺	扌棘
拻	扌灰
挃	扌至
挄	扌光
挆	扌朵
挅	扌朵
挊	弄
挋	扌臣
挏	扌同
挐	拿
挒	扌列
挓	扌宅
挔	扌衣
掮	扌肩
挗	扌夷
撣	扌單
搡	扌桑
挙	舉
挩	扌兌
挭	梗
挮	扌弟
挰	扌呈
挼	挪
挱	撫
挲	撫
挴	扌每
挵	扌弄
挶	扌局
挻	扌延
挿	插
捁	扌告
捂	掩
捄	扌求
捆	綑
捇	扌赤
捈	扌余
捊	扌孚
捌	八
捒	扌束
捓	揶
捔	扌角
捖	扌完
捗	扌步
捘	俊
捚	扌里
捛	扌呂
捜	搜
捠	扌兵
捥	扌宛
捦	擒
捪	扌昏
捬	撫
捯	扌到
捰	扌果
捳	扌岳
捴	總
捵	扌典
捶	搥
捹	扌奔
捻	諗
捼	扌委
捾	扌官
捿	扌妻
掅	扌青
掇	撮
掊	剖
掋	扌底
掍	扌昆
掎	扌奇
掑	扌其
掓	扌叔
掔	緊
掕	凌
掗	呀
掜	扌兒
掝	扌或
掞	扌炎
掤	扌朋
撋	扌潤
摛	扌離
攡	扌離
掦	扌易
掯	扌肯
掖	扌夜
掲	揭
掀	揭
搟	揭
掻	抓
搔	抓
擓	抓
掽	碰
掿	扌若
揂	扌酋
揃	扌前
揅	研
揇	扌南
揊	富
揋	扌畏
揌	扌思
揑	捏
揓	扌施
揕	扌甚
揗	循
揘	扌皇
揙	扌扁
揜	掩
揞	掩
揟	扌胥
揢	扌客
揤	扌即
揥	扌帝
扖	扒
揦	乸
揧	乸
揫	揪
揬	扌突
揯	恆
揰	扌重
揱	削手
揵	扌建
揷	插
揺	搖
揾	搵
搃	總
搆	構
搇	撳
搈	扌容
搉	確
搊	扌芻
搋	搓
扠	叉
搌	扌展
搑	扌茸
搒	挷
搕	蓋
搘	扌耆
搙	扌辱
搚	扌脅
搛	扌兼
搝	扌臭
搠	扌朔
搤	扼
搦	拎
搧	煽
搨	搭
搫	搬
搮	扌栗
搯	陶
搰	扌骨
搲	抓
搳	扌害
搷	扌真
搸	扌秦
搹	扼
搼	扌拳
搿	掰
摀	掩
摁	扌恩
摉	罈
摍	扌宿
摎	扌翏
摏	扌舂
摐	扌從
摓	扌逢
摙	鏈
摚	扌堂
摝	扌鹿
摞	攞
摠	總
摡	漑
摢	罅
摣	查
摤	扌爽
摦	扌瓠
摨	扌犀
摬	扌竟
摭	拓
摮	敖
摴	舒
撃	擊
撅	掘
撆	撇
撉	敦
撎	一
撏	尋
撔	扌景
撗	扌黃
撘	搭
撛	扌粦
撜	扌登
撟	嬌
撠	扌戟
撢	拂
撣	拂
撦	扯
撨	扌焦
撱	扌隋
撴	扌敦
撹	搞
擃	囊
虜	擄
擈	撲
擉	扌蜀
擏	擎
擐	環
擕	攜
攛	扌竄
擖	扌葛
擗	劈
擛	扌葉
擝	扌盟
擡	抬
擣	搗
擤	呻
擥	攬
擧	舉
擩	扌需
擭	獲
擮	扌截
擳	擠
擵	扌摩
擶	扌箭
擹	扌歎
擿	擲
攁	扌養
攂	儡
攃	扌蔡
攄	扌慮
𢵌	扌隊
攉	扌霍
攌	扌圜
攍	扌嬴
攓	扌蹇
攕	砌
攗	扌麋
攠	扌靡
攦	扌麗
攩	擋
攪	搞
攭	扌蠡
攮	扌囊
攱	立
攲	奇
攷	考
攺	攻
攼	攻
攽	攻
敀	迫
敁	掂
敂	攻
敄	務
敆	合
敇	棘
敊	叔
敋	擱
挌	擱
敎	教
敐	激
㲀	激
敒	攻
敓	奪
敔	攻
敘	敍
敜	攻
敟	攻
敠	攻
敡	易
敤	果
敥	炎
敧	奇
敨	攻
敪	攻
敭	易攵
敮	歃
敱	豈
敺	驅
敼	喜
敽	敿
斀	蜀
斁	壞
𤢕	壞
斅	學
斆	學
斈	學
斉	齊
斊	耳
斌	彬
斍	覺
斎	齊
斒	扁
斘	升
斚	賈
斝	賈
斞	庾
斢	紏
斣	蜀
斦	斤
斨	床
斪	句
斮	昔
斱	者
斲	斧
斳	菫
斵	斧
斸	屬
斻	航
斾	旆
斿	遊
旂	旗
旈	旒
旔	建
旘	幟
旙	幡
旛	幡
旣	既
旤	禍
旪	協
旫	刀
旮	旭
旯	旭
旰	干
旲	大
旳	的
旴	於
旹	時
旽	屯
旾	屯
旿	午
昁	巿
昅	 gup
昈	戶
昋	夭
昑	今
昒	勿
昖	公
昗	六
昘	方
昚	慎
昛	巨
昜	陽
昝	咱
昞	炳
昢	出
昤	令
昩	昧
昪	日弁
昬	昏
昮	功
昰	是
昲	弗
昳	失
昷	溫
温	溫
昸	冬
昹	永
昺	炳
昻	昂
昿	曠
晁	朝
晄	晃
晅	曬
晆	圭
晈	交
晊	至
晍	同
晎	共
晐	亥
晑	向
晘	旱
晙	俊
晜	弟
晠	成
晢	晰
晣	晰
晥	日完
晩	晚
晪	日典
晫	日卓
晬	日卒
晭	日周
晱	日炎
晲	日兒
晳	晰
晷	咎
晻	暗
晼	日宛
晽	日林
晿	日昌
暀	日往
暁	曉
暄	喧
暆	日施
暉	輝
暊	明
暌	睽
暍	暑
暎	映
暏	明
暒	晴
暓	婺
暔	日南
暕	日柬
暙	日春
暛	差
暜	普
暝	冥
暞	臬
暠	高
暡	翁
暤	嚎
暦	曆
暩	日祭
煚	日炬
昉	明
暯	日莫
暲	日章
暳	日彗
暶	日旋
暸	瞭
暺	日單
暻	日景
暼	敝日
暽	日粦
暾	日敦
暿	日喜
曀	日一
曁	暨
曂	日黃
曃	日逮
曄	曅
曋	覃
曌	照
曍	嚎
曐	星
曔	日敬
曕	日詹
曘	日需
曜	耀
曟	晶
曡	疊
曣	日燕
曤	日霍
曧	日融
曵	曳
曶	勿日
曺	曹
曽	曾
朅	曷
朆	曾
朌	頒
朎	令
朏	出
朒	肉
朖	朗
朘	俊
朙	明
朚	明
朜	享
朞	期
朠	英
朢	望
朣	童
朦	蒙
朩	麻
樫	木堅
朲	木人
椋	木京
槙	木真
贇	文武貝
朳	耙
朶	朵
朷	木刀
朹	木白
朼	木匕
朾	木丁
杄	木千
杊	木川
杍	木子
杒	木刃
杕	木大
杗	亡木
杙	木弋
杚	木乞
杛	木弓
杝	柂
杧	芒
杫	木止
杶	屯
杸	又
杹	化
杽	木手
枂	木月
枃	木勻
枆	木毛
枈	比木
枊	木仰
枍	木兮
枎	木夫
枏	楠
枑	木互
枒	椰
枔	木今
枖	木夭
枘	木內
枙	厄
枛	木爪
枡	木升
枬	楠
枮	木占
枰	木平
枱	檯
枲	檯
枴	拐
柺	拐
枹	木包
枺	末
枼	葉
枽	世
枾	柿
柀	木皮
柁	舵
柅	尼
柆	拉
柇	木禾
柈	木半
柉	木乏
柋	代木
柌	木司
柍	木央
柎	木付
柕	木矛
柖	木召
柛	木申
柣	木失
柤	木且
柦	木蛋
柧	木瓜
柩	棺材
柪	木幼
柫	木弗
柭	拔
柮	木出
柰	奈
柲	木必
柶	木四
柷	木兄
柸	杯
柹	柿
査	查
柼	木穴
柾	木正
栂	木母
栄	榮
栐	木永
栒	木巽
栔	契木
栕	木臣
栘	木多
栛	木荔
栜	棘
栝	檜
桰	檜
栞	刊木
栠	任木
栢	柏
栣	木任
栤	木冰
栥	次木
栦	木州
栧	木曳
栨	木次
栫	木存
栬	木色
栮	木耳
栯	木有
栰	木筏
栲	木考
栳	木老
栵	木列
栺	木旨
栻	木式
栿	木伏
桁	木航
桄	木光
桇	木如
桋	木夷
桒	桑
桖	木血
桗	木朵
桙	牟
桜	櫻
桟	棧
桫	木沙
桬	沙木
桭	木辰
桮	杯
桯	木呈
桲	勃
桷	木角
桹	木良
杼	抒
桼	漆
桽	木坐
桾	木君
梀	木束
梂	木求
杈	木叉
椪	木並
梃	庭
梄	木酉
梇	木弄
梈	木亨
梊	折木
梋	絹
梌	木余
梎	木皂
梑	木狄
梒	木含
梕	木忍
梙	木串
梚	木免
梞	木忌
梡	木完
梣	木岑
梩	木里
梪	木豆
梬	木娉
梮	木局
梲	棳
梴	木延
梸	木利
梹	檳
梺	麓
梽	木志
棃	梨
棅	柄
棊	棋
棌	木采
棐	匪
棑	木篺
棔	木昏
棖	木長
棙	木淚
棛	木育
棝	木固
棢	木罔
棤	木昔
棥	樊
棪	木炎
棫	木或
棬	木卷
棭	木夜
棯	木掂
棰	槌
棱	木稜
棴	木服
棶	木來
棸	取木
楸	木秋
櫂	棹
艥	棹
楫	棹
棼	林分
棽	林今
棾	林冗
棿	木兒
椀	木碗
椃	木虎
椄	木妾
椆	木周
椇	木具
椉	乘
椊	碎
椎	槌
椐	木居
椑	木卑
椓	木涿
椔	枯木
椖	木房
椘	楚
検	檢
椞	析木
椥	木知
椯	木專
椳	木畏
椵	木假
椶	女棕
椷	木咸
椸	木施
椹	木砧
椺	木保
椻	木偃
椼	木衍
椾	木前
楀	木禹
楁	木客
楃	木屋
訹	誘
怵	懼
庠	養
彅	弓剪
幔	幕
帷	帳
幄	幕
楄	木扁
楅	木富
楆	木要
楉	木若
楋	木剌
楏	木奎
楐	木界
楑	木癸
楒	木思
楕	橢
楖	木即
楘	婺
楙	茂
楛	木苦
楜	木胡
楞	木稜
楟	木亭
楡	榆
楤	木怱
楥	木楦
楧	木英
楩	木便
楬	木曷
楯	木盾
楰	木臾
楱	木奏
楲	木威
楳	木某
楴	木帝
楶	木諮
㮞	木諮
楺	木柔
楻	木皇
楽	樂
榀	木品
榃	林田
榊	木神
榍	木屑
榎	木賈
榏	木益
榐	木展
榒	木弱
榘	矩木
榙	木塔
榞	木原
榟	木宰
榠	木冥
榡	木素
榢	架
榦	乾
榧	木匪
榨	木窄
榩	木虔
榪	木馬
榬	木袁
榰	木耆
榱	木衰
榳	木庭
榵	木茸
榶	木唐
榸	木埋
榹	木虒
榼	木蓋
榽	木奚
榾	木骨
榿	木豈
槀	稿
槄	木舀
槅	木核
槆	木荀
槇	木真
槙	木真
槈	木辱
槉	木疾
槊	木朔
槎	木查
槏	木兼
槒	木畜
槔	嚎
槕	桌
槖	囊
様	樣
槜	木雋
槢	木習
槣	木寄
槥	木彗
槦	木庸
槧	斬木
槩	概木
槪	概
槬	木瓠
槭	木戚
槮	木參
槯	木崔
槰	木逢
槴	木扈
槵	木患
槹	木咎
樋	木通
槺	木康
槻	木規
槼	木規
槾	木曼
樃	木朗
柞	木乍
槲	木斛
樇	脩
樈	竟
樉	爽
樎	宿
樏	累
樐	盧
樒	密
樔	巢
樕	嫩
樖	棵
樗	雨
樚	轆
樛	木翏
樜	庶
権	權
樬	傯
樳	尋
樶	最
樷	叢
樻	櫃
樼	弱
樿	單
橂	奠
橆	無
橇	喬
橉	粦
橊	榴
橎	番
橏	善
橐	囊
橑	僚
橓	舜
橔	敦
橖	棠
橛	厥
橜	厥
橝	覃
橞	惠
橣	寧
橦	幢
橧	曾
橪	然
橬	僭
橭	辜
橰	嚎
橶	戟
橿	僵
檁	稟
檃	櫽
檅	歲
檇	雋
檈	環
檉	柳
檊	幹
檌	罪
檍	意
檐	簷
梠	簷
楣	簷
檒	梵
檓	木毀
燬	灬毀
毁	毀
檖	木遂
檗	木辟
檘	木辟
檙	木鼎
檚	木楚
檛	木簻
檝	艥
檟	木賈
檠	擎
檤	木道
檦	木慓
檨	木羨
檫	木察
檱	木箕
檴	獲
檺	木豪
檼	木隱
櫽	木隱
檽	木需
檿	壓
櫀	木綦
櫁	木蜜
櫄	木燻
櫆	木魁
櫈	凳
橷	凳
橩	凳
櫉	櫥
櫌	木憂
櫏	木遷
櫐	儡
櫑	木儡
櫒	木蔡
櫓	木魯
櫗	木蔑
櫘	木慧
櫡	木箸
櫧	諸
櫨	木盧
櫬	木親
櫭	木暨
櫮	木噩
櫰	壞
櫲	預
櫼	砌
櫾	柚
欀	襄
欁	農
欂	薄
欃	饞
欇	聶
欉	叢
欎	鬱
欏	木羅
欒	灤
欓	檔
欔	木矍
欙	木累
欚	木蠡
欜	木囊
欝	鬱
欥	缺
欦	今
欨	句
欩	召
欪	出
欬	咳
欭	因
欯	吉
欰	血
欱	合
欴	良
欵	款
欻	炎
欼	啜
欿	焰
歁	甚
歂	專
歋	虒
歏	菫
歑	罅
歓	歡
歕	噴
歖	喜
歗	嘯
歘	焱
歙	翕
歛	斂
歜	蜀
歠	啜
歨	步
歩	步
歫	巨
歬	前
歯	齒
歰	澀
歱	踵
歳	歲
歴	歷
歶	禺
歺	歹
歽	歹
歾	歿
殀	夭
殅	生
殈	血
殍	孚
殏	求
殐	束
殑	克
殕	剖
殗	奄
殙	昏
殟	婦
殠	臭
殢	帶
殣	菫
殥	寅
殧	就
殨	潰
殩	粲
殪	一
殰	𦢌
殱	殲
殳	又
殶	主
殸	聲
殻	殼
殽	淆
殾	者
毃	高
毈	段
毉	醫
毌	無
毋	無
毎	每
毑	乸
毓	育
毖	泌
毘	毗
毞	毛
毠	加
毢	西
毣	羽
毥	旬
毦	耳
毨	先
毩	米
毪	牟
毬	球
毭	豆
毰	剖
毷	冒
毸	思
毺	俞
毼	曷
毿	參
氁	莫
氂	髦
氃	童
氄	毛
氅	鷩
氆	普
氊	氈
氋	蒙
氌	魯
氒	氏
氜	陽
氝	氣內
氠	氣申
氥	氣西
氷	冰
氻	氵力
氼	水
氽	水
汃	氵八
汄	氵人
汈	刀
汊	氵叉
汋	氵勺
汍	氵丸
汏	氵大
汒	氵亡
滁	氵除
鶘	胡鳥
汓	氵子
汖	山水
汘	氵千
汙	污
汚	污
汜	氵巳
汥	氵支
汦	氵氏
汨	氵日
汩	氵日
汫	阱
汭	氵內
汮	氵勻
汲	吸
汳	氵反
汵	氵今
潣	氵閔
汷	攻
汸	氵方
灒	氵贊
汻	氵午
洮	氵兆
沭	氵朮
沀	氵予
沊	舀
沍	氵互
沎	氵化
沑	氵丑
沔	氵丏
沕	氵勿
沗	天水
沘	氵比
沜	氵片
沝	水水
沞	姵
沠	氵爪
沢	澤
沯	水石
沰	氵石
沲	沱
沵	氵爾
濔	氵爾
沶	氵示
沷	拔
沺	氵田
泀	氵司
泄	洩
泇	氵加
泈	氵冬
泋	氵卉
泍	氵本
泎	氵乍
泏	氵出
泑	氵幼
泔	氵甘
泖	茅
泘	氵乎
泙	洴
泚	氵此
泜	氵氐
泝	溯
泟	氵正
泤	氵以
泦	氵尻
泩	氵生
泬	氵穴
泭	氵付
泴	水
泿	氵艮
洀	氵舟
洂	氵亦
洃	氵灰
洅	氵再
洆	氵丞
洈	氵危
洉	氵後
洊	氵存
洌	冽
洏	氵而
洑	氵伏
洓	棘
洔	氵寺
洖	氵吳
洘	氵考
洚	洪
洝	氵安
洟	涕
洠	氵牟
洡	來
洣	氵米
洤	泉
洦	氵百
洨	氵交
洫	氵血
洬	氵夙
洭	氵匡
洰	氵巨
洳	氵如
洷	氵至
洿	污
浀	氵曲
浄	淨
浗	氵求
浘	氵尾
浛	氵含
浜	瀕
浞	氵足
洙	氵朱
潯	氵尋
浢	氵豆
浣	幹
浧	氵呈
浨	氵宋
浫	氵罕
浭	氵更
浯	氵吾
浰	氵利
浱	氵辰
浵	氵彤
浶	氵牢
浺	氵忡
浻	商
浼	潣
浽	氵妥
浾	氵赤
涁	氵杉
涃	氵困
涄	娉
涊	氵忍
涌	湧
涍	氵孝
涏	庭
涐	氵我
涑	氵束
涒	氵君
涖	蒞
涗	兌
涘	氵矣
涙	淚
涜	瀆
涫	氵官
涬	氵幸
涭	氵受
涳	氵空
灦	氵顯
涶	氵垂
𠗕	氵俊
涷	凍
涹	氵委
涺	氵居
涻	捨
涽	氵昏
涾	踏
淁	氵妾
淃	氵卷
淈	氵屈
淉	氵果
澶	氵亶
淊	淹
淍	氵周
淎	氵奉
淏	氵昊
淐	氵昌
淓	氵芳
淔	氵直
淛	氵制
淜	崩
淝	氵肥
淠	俾
淢	氵或
淣	氵兒
淧	氵宓
淰	淋
淲	氵虎
淴	氵忽
淶	氵來
淸	清
淽	氵芷
淾	金水
淿	氵帛
渀	氵奔
渂	汶
渃	氵若
渄	氵非
渇	渴
済	濟
渉	涉
渋	澀
渒	氵卑
溍	氵晉
渓	溪
渕	淵
渘	氵柔
渚	氵者
渞	氵首
渢	氵風
渤	氵勃
渧	氵帝
渨	偎
渫	洩
渮	氵荷
渰	淹
渱	氵虹
渳	氵弭
渵	氵苗
渷	氵兗
渹	揈
渻	氵省
渽	氵哉
渿	氵奈
湀	氵癸
湁	氵拾
湅	氵柬
湆	氵音
湈	氵某
湌	餐
湏	須
湐	氵柏
湑	氵胥
湓	氵盆
湔	氵前
湕	氵建
湗	氵封
湙	氵奕
湚	氵胤
湝	氵皆
湞	氵貞
湟	況
湠	氵炭
湡	氵禺
湢	富
湤	氵施
湥	氵突
湦	氵星
湩	氵重
湬	秋水
湴	氵並
湵	氵羑
湶	氵泉
湷	氵春
湸	氵亮
湹	氵厘
湺	氵保
湻	淳
満	滿
溈	為
溉	漑
溌	潑
溒	氵袁
溓	氵兼
溔	氵羔
湫	氵秋
洺	氵名
溟	氵冥
溗	氵乘
溙	氵泰
溚	塔
溛	抓
溞	氵蚤
溠	氵差
溦	微
溨	氵栽
溬	羌
溮	氵師
溳	氵員
溵	氵殷
溸	氵素
溹	氵索
瀞	氵靜
溼	濕
溽	縟
溾	氵鬼
溿	氵畔
滀	氵畜
滃	氵翁
滆	氵隔
滈	氵高
滍	氵蚩
滏	氵釜
滒	氵哥
滖	氵衰
滙	匯
彙	匯
彚	匯
𢑥	匯
𢑭	匯
𢑷	匯
滜	嚎
霑	沾
氾	泛
汎	泛
灃	氵豐
滣	氵唇
滫	氵脩
滮	氵彪
滰	氵竟
滱	氵寇
滳	氵商
滵	氵密
滶	氵敖
滹	罅
滺	氵悠
滻	氵產
滼	氵梵
滽	氵庸
沇	氵允
涔	氵岑
漀	水
漃	氵寂
漄	涯
漅	氵巢
漇	氵徙
漈	氵祭
漊	氵婁
漋	窿
漎	眾
漒	鏹
漖	氵教
漗	傯
漘	氵唇
漝	氵習
漟	氵堂
漤	氵婪
漧	氵乾
漨	氵逢
漭	氵莽
漰	氵崩
漴	氵崇
漵	敍
漷	氵郭
漹	氵焉
漺	氵爽
漻	氵翏
漼	氵崔
潀	氵眾
潄	漱
潅	灌
潊	氵敍
潌	氵窒
潎	氵敝
潏	湧
潐	氵焦
潒	氵象
潓	氵惠
潖	氵琶
潗	氵集
潙	為
潝	氵翕
潠	氵巽
潡	氵敦
潥	氵粟
潧	氵曾
潨	氵眾
淖	氵卓
瀩	氵頹
澋	氵景
潩	氵異
潪	氵智
潫	縢
潬	灘
潲	餿
潳	氵屠
潵	氵散
潶	氵黑
潹	氵森
潻	氵黍
潽	氵普
澁	澀
澂	澄
澇	潦
澈	徹
粼	徹
澉	氵敢
澊	氵尊
澌	氵斯
澏	氵喦
潷	氵筆
澑	溜
澓	氵復
澔	浩
澗	磵
澞	氵虞
澣	氵幹
澥	氵解
澦	預
澨	氵筮
澭	臃
澮	會
澯	氵粲
澴	環
澵	氵新
澷	漫
澸	氵感
澺	氵意
澻	氵遂
澼	氵辟
澽	據
澿	氵禁
濇	澀
濉	氵睢
濋	氵楚
濌	重
濍	氵葱
濎	氵鼎
濐	氵暑
濖	氵署
濗	氵幕
濚	榮
濜	盡
濝	氵綦
濢	氵翠
濣	氵斡
濥	氵夤
濨	氵慈
濩	獲
濭	氵蓋
濲	氵穀
濳	潛
濵	瀕
濶	闊
濸	滄
濿	水
瀁	漾
瀌	鏢
瀍	氵廛
瀎	氵蔑
瀒	澀
瀓	氵徵
瀖	氵霍
瀜	氵融
瀤	壞
瀪	泉
瀬	瀨
瀰	彌
瀳	氵薦
瀵	氵糞
瀷	折
瀸	砌
瀹	和
瀺	饞
瀻	氵戴
瀼	氵襄
瀽	氵蹇
瀿	氵繁
灀	氵霜
灂	氵爵
灄	聶
灅	氵壘
灕	漓
灉	臃
灎	氵豔
灔	氵豔
灧	氵豔
灩	氵豔
滟	氵豔
豓	豔
豑	豐弟
豒	豐弟
蘴	艹封
葑	艹封
灖	氵靡
灞	氵霸
灢	氵囊
灮	光
灱	火刂
灲	火刂
灴	烘
灷	關
灺	灬也
灻	赤
炂	灬公
炃	分火
炄	灬丑
炅	炯
炇	攻
炈	火役
炋	灬不
炌	灬介
炍	灬反
炏	炎
炐	烽
炓	灬斗
炔	耿
炗	光
炛	光
炠	灬甲
炡	灬正
炣	灬可
炤	灬照
炥	灬弗
炦	灬拔
炨	灬它
炩	灬令
炪	灬出
炰	炮
炱	灬台
炲	灬台
炴	灬央
炵	灬冬
炶	灬占
炻	灬石
炾	灬兄
烀	灬乎
烄	灬交
烅	灬血
烆	灬行
烇	灬全
烉	煥
烋	哮
烌	灬休
烍	灬先
烑	灬兆
烒	灬式
烓	灬圭
烕	滅
烖	𡿧
烜	曬
盃	杯
烝	蒸
烞	灬樸
烠	灬有
烡	光
烢	灬宅
烣	灬灰
烰	灬孚
烱	炯
烲	折火
烳	灬甫
烵	灬勺
烶	庭
烸	灬每
烻	灬延
烼	灬火
烾	赤
烿	灬彤
焀	灬谷
焂	攸火
焃	灬嚇
焅	灬告
焆	灬絹
焇	灬肖
焈	熙
焍	灬弟
焎	灬折
焐	灬吾
焓	灬含
焔	灬焰
焝	灬昏
焞	照
焟	灬昔
焠	灬卒
焣	灬取
焤	腐
焥	灬宛
焩	灬朋
焪	灬穹
焫	辣
焬	灬易
焭	煢
焮	灬欣
炘	灬欣
焯	灼
焲	灬夜
愇	灬韋
焳	灬離
焴	灬育
焵	灬崗
焷	灬卑
焺	灬升
焼	燒
煁	灬甚
煂	灬革
煃	灬奎
煄	灬重
煅	鍛
煆	鍛
煇	輝
煋	灬星
煍	灬秋
煏	灬富
煑	煮
煓	灬端
澪	氵零
煔	閃
煕	熙
煖	灬暖
煘	灬咸
煝	灬眉
煟	灬胃
煠	炸
煡	灬建
煣	灬柔
煪	灬酋
煬	烊
煰	灬品
煳	灬胡
煵	灬南
煺	灬退
煻	灬唐
煾	灬恩
熀	灬晃
熁	灬脅
熆	灬蓋
熇	燺
熈	熙
熋	熊
熎	灬受
熐	灬冥
熑	灬兼
熓	灬烏
熝	灬鹿
熞	灬堅
熢	灬逢
熣	灬崔
熥	灬通
熦	灬雀
熩	灬扈
熪	灬移
熫	灬庶
熭	灬彗
熮	灬翏
熯	炕
暵	炕
熳	灬曼
熵	灬商
熶	灬最
熷	灬曾
熺	灬熹
熻	灬翕
熼	灬異
燂	燒
燄	焰
燅	炎
燇	灬尊
燋	灬焦
燍	灬斯
歔	噓
欷	唏
偌	如此
壠	壟
燏	燈
燐	灬粦
燗	爛
燜	炆
燘	炆
燣	燷
燪	灬葱
燫	灬廉
燯	灬零
燱	灬意
燳	灬照
燶	焦
燸	灬需
燽	壽
燿	耀
爀	灬嚇
爅	灬墨
爊	灬鏢
燹	灬戰
爋	燻
爑	灬蕉
爒	羲
爙	灬襄
爔	曦
爝	爵
爞	灬蟲
爟	獾
爡	灬蠆
爢	靡灬
爮	包
爯	稱
爲	為
爴	國
爼	俎
牀	床
牁	可
牂	羊
牄	蹌
牅	庸
牉	半
牊	召
牋	箋
牎	怱
牏	俞
牐	歃
牑	扁
牓	旁
牕	窻
牖	牗
牚	撐
撑	撐
牞	牜力
牣	牜刃
牤	牜亡
牥	牜方
牨	牜亢
牪	牛
牫	牜戈
牭	牜四
猁	牜利
牮	代
牰	牜由
牱	牜可
牳	牜母
牷	牜全
牸	牜字
牾	牜吾
牿	牜告
犂	犁
犃	剖
犇	奔
犈	牜卷
犋	牜具
犄	牜奇
犌	假
犍	牜建
犎	封
犐	牜科
犒	稿
犓	牜芻
犗	牜害
犚	尉
犛	髦
犜	牜敦
犝	牜童
犠	犧
犥	鏢
犦	牜暴
犩	巍
犪	牜夔
犰	犭九
犱	犭丸
犲	犭才
犳	犭勺
犴	犭干
犵	犭乞
狴	陛
獴	犭蒙
犺	犭亢
犻	犭巿
犼	犭孔
犽	犭牙
犾	犭犬
犿	犭卞
狁	犭允
狃	犭丑
狅	犭壬
狆	犭中
狇	犬
狉	犭丕
狋	犭示
狌	犭生
狍	犭包
狑	犭令
狓	犭皮
狔	犭尼
狕	犭幼
狖	犭穴
狚	蛋
狛	犭白
狜	犭古
狢	貉
狣	犭兆
狥	殉
狧	犭舌
狪	犭同
狫	犭老
狳	犭余
狶	犭希
狷	環
狹	陝
狻	俊
狾	犭折
狿	犭延
猀	犭沙
猂	犭旱
猅	犭非
猆	非
猇	諕
猈	犭卑
猉	犭其
猊	貎
猋	飇
猏	犭肩
猐	犭羌
猑	犭昆
猓	犭果
猔	犭宗
猘	犭制
獮	犭彌
獼	犭彌
猗	犭奇
欹	犭奇
狨	犭戎
猚	離
獮	犭爾
猟	獵
猤	犭癸
猨	猿
猭	喙
猯	豸端
貒	豸端
猰	犭契
猱	獿
猲	犭葛
猳	假
猵	犭扁
猸	犭眉
猹	犭查
猽	犭冥
獀	搜
獁	馬
獂	犭原
獃	呆
獆	嚎
獉	犭秦
獋	嚎
獌	犭曼
獍	犭竟
獐	犭章
獓	犭敖
獕	犭崔
獘	敝
獙	犭敝
獚	犭黃
獛	樸
獜	犭粦
獝	驚
獞	犭童
獡	寫
獣	獸
獦	犭葛
獧	環
獫	玁
獬	犭解
獯	犭燻
獶	獿
獽	犭襄
貛	獾
玃	犭矍
玅	妙
玆	茲
玌	尤
玍	午一
琁	玉旋
璇	玉旋
璁	玉總
珥	玉耳
瑁	玉冒
璔	玉曾
瓏	玉龍
珺	玉君
玏	玉力
玐	玉八
玒	玉工
玓	玉勺
玔	玉川
玕	玉干
玖	九
玘	玉己
玜	玉公
玝	玉午
玞	玉夫
玟	玫
玠	玉介
玢	玉分
玣	玉卞
玤	玉丰
玧	玉允
玨	玉王
玪	玉今
玬	玉丹
玭	玉比
玳	瑇
玴	玉世
玵	玉甘
玶	玉平
玸	玉包
玼	玉此
玽	玉句
玾	玉甲
玿	玉召
珁	玉瓦
珃	玉冉
珄	玉生
珆	玉台
珇	玉且
珉	玫
珋	玉卯
珌	玉必
珎	珍
珓	玉交
珔	玉存
珖	玉光
珗	玉先
珘	玉舟
珙	玉共
珚	玉因
珛	玉有
珜	玉羊
珝	玉羽
珟	玉夙
珢	玉艮
珤	罄
珦	玉向
珧	玉兆
珨	玉合
珪	玉圭
珫	玉充
珬	玉戌
珳	玉彣
珴	玉我
珶	玉弟
珷	玉武
珸	玉吾
珻	玉每
珿	玉足
琀	玉含
琂	玉言
琄	玉絹
琅	瑯
琈	玉孚
琌	玉岑
琓	玉完
琔	玉定
琗	玉卒
琘	玉昏
琙	玉或
琝	玉旻
琞	明
琟	離
琠	玉典
琡	玉叔
琣	剖
琩	玉昌
琫	玉奉
琭	剝
琰	玉炎
琱	雕
琷	玉羌
琸	玉卓
琽	玉者
琾	玉界
瑅	玉是
瑈	玉柔
瑊	玉咸
瑎	玉皆
瑏	玉穿
瑐	玉前
瑑	喙
瑓	玉柬
瑔	玉泉
瑖	玉段
瑘	玉耶
瑙	碯
瑝	玉皇
瑠	琉
瑥	玉溫
瑨	玉晉
瑫	玉舀
瑬	流玉
瑮	玉栗
瑱	玉真
瑲	玉倉
瑳	玉差
瑵	玉蚤
瑹	玉茶
瑺	玉常
璅	玉巢
璆	玉翏
璇	璿
璌	玉寅
璏	玉彘
彘	豬
璒	玉登
璖	玉渠
璙	玉僚
璚	瓊
璢	琉
璥	玉敬
璫	玉當
璮	玉亶
璱	玉瑟
璲	玉遂
璷	玉敷
璸	玉賓
璻	玉翠
瓀	玉需
瓁	玉獲
瓃	玉儡
瓈	璃
瓓	玉闌
瓖	玉鑲
瓛	玉獻
瓝	瓜勺
瓟	瓜包
瓡	幸瓜
瓨	工瓦
瓪	瓜反
瓫	分瓜
瓬	方瓦
瓳	古瓦
